Model:,Kit Enclosure v26
Cutting Area:, x 

Position,Name,Description,Quantity,Length (mm),Dimensions (mm)



Unrecognized Parts (only relevant if Fusion model changes and can usually be ignored)
Position,Name,Description,Quantity,Length (mm),Dimensions (mm),Path
114,Body6,,1,,21.15 x 7.9 x 5,Electronic Components:1->Green Start Switch:1->Switch Module (1):1
115,Body7,,1,,11.69 x 7.1 x 7.1,Electronic Components:1->Green Start Switch:1->Switch Module (1):1
116,Body8,,1,,6.61 x 5.91 x 2.68,Electronic Components:1->Green Start Switch:1->Switch Module (1):1
117,Body9,,1,,39.65 x 21.3 x 8.75,Electronic Components:1->Green Start Switch:1->Switch Module (1):1
118,Body1,,1,,39.95 x 25.3 x 8.2,Electronic Components:1->Green Start Switch:1->Switch Light Contact (1):1
119,Body2,,1,,39.65 x 21.3 x 8.75,Electronic Components:1->Green Start Switch:1->Switch Light Contact (1):1
120,Body3,,1,,11.69 x 7.1 x 7.1,Electronic Components:1->Green Start Switch:1->Switch Light Contact (1):1
121,Body4,,1,,11.69 x 7.1 x 7.1,Electronic Components:1->Green Start Switch:1->Switch Light Contact (1):1
122,Body5,,1,,12.2 x 8.3 x 3.4,Electronic Components:1->Green Start Switch:1->Switch Light Contact (1):1
123,Body6,,1,,12.2 x 8.3 x 3.4,Electronic Components:1->Green Start Switch:1->Switch Light Contact (1):1
124,Body7,,1,,6.61 x 5.91 x 2.68,Electronic Components:1->Green Start Switch:1->Switch Light Contact (1):1
125,Body8,,1,,6.61 x 5.91 x 2.68,Electronic Components:1->Green Start Switch:1->Switch Light Contact (1):1
126,Body9,,1,,28.15 x 13.2 x 0.8,Electronic Components:1->Green Start Switch:1->Switch Light Contact (1):1
127,Body10,,1,,18.09 x 9.9 x 9.9,Electronic Components:1->Green Start Switch:1->Switch Light Contact (1):1
128,Body11,,1,,9.21 x 5 x 3.97,Electronic Components:1->Green Start Switch:1->Switch Light Contact (1):1
129,Body1,,1,,39.95 x 25.55 x 8.2,Electronic Components:1->Green Start Switch:1->Switch Module (1):2
130,Body2,,1,,12.2 x 8.3 x 3.4,Electronic Components:1->Green Start Switch:1->Switch Module (1):2
131,Body3,,1,,12.2 x 8.3 x 3.4,Electronic Components:1->Green Start Switch:1->Switch Module (1):2
132,Body4,,1,,6.61 x 5.91 x 2.68,Electronic Components:1->Green Start Switch:1->Switch Module (1):2
133,Body5,,1,,11.69 x 7.1 x 7.1,Electronic Components:1->Green Start Switch:1->Switch Module (1):2
134,Body6,,1,,21.15 x 7.9 x 5,Electronic Components:1->Green Start Switch:1->Switch Module (1):2
135,Body7,,1,,11.69 x 7.1 x 7.1,Electronic Components:1->Green Start Switch:1->Switch Module (1):2
136,Body8,,1,,6.61 x 5.91 x 2.68,Electronic Components:1->Green Start Switch:1->Switch Module (1):2
137,Body9,,1,,39.65 x 21.3 x 8.75,Electronic Components:1->Green Start Switch:1->Switch Module (1):2
138,Body1,,1,,76.7 x 55.5 x 33.3,Electronic Components:1->HY VFD Controller:1
139,Body1,,1,,119 x 119 x 4,Electronic Components:1->120mm Fan Filter:1
140,Body1,,1,,111.97 x 109.28 x 18.75,Electronic Components:1->8774N18_DC Equipment-Cooling Fan:1
141,Body2,,1,,120 x 120 x 30,Electronic Components:1->8774N18_DC Equipment-Cooling Fan:1
142,Body1,,1,,215.2 x 115 x 30.05,Electronic Components:1->MW LRS-350-48 Power Supply:1
143,Body1,,1,,159 x 97 x 29.5,Electronic Components:1->Mean Well LRS 150W 24V:1
144,Body2,,1,,4.8 x 4.03 x 3.33,Electronic Components:1->Mean Well LRS 150W 24V:1
